,kernel,C,acc
0,linear,0.001,99.857
1,linear,0.10621052631578948,99.857
2,linear,0.21142105263157895,99.857
3,linear,0.31663157894736843,99.857
4,linear,0.4218421052631579,99.85699999999999
5,linear,0.5270526315789473,99.857
6,linear,0.6322631578947369,99.857
7,linear,0.7374736842105264,99.857
8,linear,0.8426842105263158,99.85699999999999
9,linear,0.9478947368421052,99.85700000000001
10,linear,1.0531052631578945,99.857
11,linear,1.1583157894736842,99.857
12,linear,1.2635263157894736,99.857
13,linear,1.368736842105263,99.857
14,linear,1.4739473684210527,99.857
15,linear,1.579157894736842,99.857
16,linear,1.6843684210526315,99.857
17,linear,1.789578947368421,99.85700000000001
18,linear,1.8947894736842104,99.85700000000001
19,linear,2.0,99.85700000000001
20,poly,0.001,99.83657142857143
21,poly,0.10621052631578948,99.818
22,poly,0.21142105263157895,99.80104347826087
23,poly,0.31663157894736843,99.78549999999998
24,poly,0.4218421052631579,99.7712
25,poly,0.5270526315789473,99.758
26,poly,0.6322631578947369,99.74577777777777
27,poly,0.7374736842105264,99.73442857142857
28,poly,0.8426842105263158,99.72386206896552
29,poly,0.9478947368421052,99.71399999999998
30,poly,1.0531052631578945,99.70477419354837
31,poly,1.1583157894736842,99.696125
32,poly,1.2635263157894736,99.68799999999997
33,poly,1.368736842105263,99.68035294117645
34,poly,1.4739473684210527,99.67314285714285
35,poly,1.579157894736842,99.66633333333334
36,poly,1.6843684210526315,99.6598918918919
37,poly,1.789578947368421,99.65378947368421
38,poly,1.8947894736842104,99.648
39,poly,2.0,99.6425
40,sigmoid,0.001,98.43170731707318
41,sigmoid,0.10621052631578948,97.27857142857142
42,sigmoid,0.21142105263157895,96.17906976744186
43,sigmoid,0.31663157894736843,95.12954545454545
44,sigmoid,0.4218421052631579,94.12666666666667
45,sigmoid,0.5270526315789473,93.16739130434783
46,sigmoid,0.6322631578947369,92.24893617021277
47,sigmoid,0.7374736842105264,91.36875
48,sigmoid,0.8426842105263158,90.52448979591836
49,sigmoid,0.9478947368421052,89.714
50,sigmoid,1.0531052631578945,88.93529411764706
51,sigmoid,1.1583157894736842,88.18653846153846
52,sigmoid,1.2635263157894736,87.46603773584906
53,sigmoid,1.368736842105263,86.77222222222223
54,sigmoid,1.4739473684210527,86.10363636363637
55,sigmoid,1.579157894736842,85.45892857142857
56,sigmoid,1.6843684210526315,84.83684210526316
57,sigmoid,1.789578947368421,84.23620689655172
58,sigmoid,1.8947894736842104,83.65593220338982
59,sigmoid,2.0,83.095
60,rbf,0.001,82.69998360655737
61,rbf,0.10621052631578948,82.31770967741934
62,rbf,0.21142105263157895,81.94757142857144
63,rbf,0.31663157894736843,81.58899999999998
64,rbf,0.4218421052631579,81.24146153846154
65,rbf,0.5270526315789473,80.90445454545456
66,rbf,0.6322631578947369,80.57750746268655
67,rbf,0.7374736842105264,80.2832794117647
68,rbf,0.8426842105263158,80.10110144927536
69,rbf,0.9478947368421052,80.0813
70,rbf,1.0531052631578945,80.11030985915494
71,rbf,1.1583157894736842,80.1385138888889
72,rbf,1.2635263157894736,80.16594520547945
73,rbf,1.368736842105263,80.19263513513513
74,rbf,1.4739473684210527,80.21861333333332
75,rbf,1.579157894736842,80.24390789473685
76,rbf,1.6843684210526315,80.26854545454545
77,rbf,1.789578947368421,80.29255128205129
78,rbf,1.8947894736842104,80.3159493670886
79,rbf,2.0,80.3387625
